,id,condition,chunk,bl,tr,ts,delta_c
419,218,accurate,sz4,66,213,77,11
420,219,accurate,high2,27,119,66,39
421,219,accurate,medium2,16,65,62,46
422,219,accurate,sz3,23,67,86,63
423,219,accurate,sz4,15,32,60,45
424,221,accurate,high2,49,185,69,20
425,221,accurate,medium2,48,134,54,6
426,221,accurate,sz3,66,199,87,21
427,221,accurate,sz4,49,129,63,14
428,223,accurate,high2,3,12,1,-2
429,223,accurate,medium2,4,21,0,-4
430,223,accurate,sz3,0,9,0,0
431,223,accurate,sz4,0,3,0,0
432,224,accurate,high2,22,157,49,27
433,224,accurate,medium2,18,82,39,21
434,224,accurate,sz3,6,100,39,33
435,224,accurate,sz4,2,47,16,14
436,225,accurate,high2,65,144,68,3
437,225,accurate,medium2,54,123,58,4
438,225,accurate,sz3,82,141,85,3
439,225,accurate,sz4,56,77,58,2
440,226,accurate,high2,61,171,74,13
441,226,accurate,medium2,43,89,51,8
442,226,accurate,sz3,64,119,86,22
443,226,accurate,sz4,42,69,63,21
444,231,accurate,high2,46,119,64,18
445,231,accurate,medium2,44,122,54,10
446,231,accurate,sz3,53,119,79,26
447,231,accurate,sz4,33,67,53,20
448,236,accurate,high2,61,165,66,5
449,236,accurate,medium2,48,55,35,-13
450,236,accurate,sz3,72,88,56,-16
451,236,accurate,sz4,49,51,30,-19
452,237,accurate,high2,9,77,24,15
453,237,accurate,medium2,42,157,45,3
454,237,accurate,sz3,12,97,21,9
455,237,accurate,sz4,5,61,8,3
456,242,accurate,high2,2,61,58,56
457,242,accurate,medium2,2,22,38,36
458,242,accurate,sz3,0,29,45,45
459,242,accurate,sz4,0,16,27,27
460,244,accurate,high2,58,158,67,9
461,244,accurate,medium2,31,105,40,9
462,244,accurate,sz3,43,134,63,20
463,244,accurate,sz4,22,69,41,19
